[19-11-27 00:03:23] [LOGIN] user:luisfeliperm; 45.70.127.144; 002618AB4DE9
[19-11-27 00:19:20] [LOGIN] user:luisfeliperm; 45.70.127.144; 002618AB4DE9
[19-11-27 00:28:14] [LOGIN] user:luisfeliperm; 45.70.127.144; 002618AB4DE9
[19-11-27 00:34:58] [LOGIN] user:luisfeliperm; 45.70.127.144; 002618AB4DE9
[19-11-27 00:48:51] [LOGIN] user:luisfeliperm; 45.70.127.144; 002618AB4DE9
[19-11-27 01:12:00] [LOGIN] user:luisfeliperm; 45.70.127.144; 002618AB4DE9
[19-11-27 01:16:42] [LOGIN] user:luisfeliperm; 45.70.127.144; 002618AB4DE9
[19-11-27 01:33:18] [LOGIN] user:luisfeliperm; 10.10.10.100; 36F9E077B92E
[19-11-27 01:35:21] [LOGIN] user:luisfeliperm; 10.10.10.100; 8E8C43E5F1E7
[19-11-27 01:35:59] [LOGIN] user:luisfeliperm; 45.70.127.144; 002618AB4DE9
[19-11-27 01:39:06] [LOGIN] user:luisfeliperm; 10.10.10.100; 7FD25C4558BA
[19-11-27 01:40:24] [LOGIN] user:luisfeliperm; 10.10.10.100; B0D7EA3DA4B2
[19-11-27 21:20:41] [LOGIN] user:luisfeliperm; 10.10.10.100; 69936EECFF4E
