[19-12-15 17:29:31] [LOGIN] user:luisfeliperm; 10.10.10.100; FFFFFFFFFFFF
[19-12-15 17:47:12] [LOGIN] user:luisfeliperm; 10.10.10.100; BABACA000000
[19-12-15 17:48:52] [LOGIN] user:luisfeliperm; 10.10.10.100; BABACA000000
[19-12-15 17:50:53] [LOGIN] user:luisfeliperm; 10.10.10.100; BABACA000000
[19-12-15 19:34:06] [LOGIN] user:luisfeliperm; 10.10.10.100; BABACA000000
[19-12-15 20:09:16] [LOGIN] user:luisfeliperm; 10.10.10.100; BABACA000000
[19-12-15 20:17:46] [LOGIN] user:luisfeliperm; 10.10.10.100; BABACA000000
[19-12-15 20:23:51] [LOGIN] user:luisfeliperm; 10.10.10.100; BABACA000000
[19-12-15 20:27:57] [LOGIN] user:luisfeliperm; 10.10.10.100; BABACA000000
[19-12-15 20:28:26] [LOGIN] user:luisfeliperm; 10.10.10.100; BABACA000000
[19-12-15 20:41:34] [LOGIN] user:luisfeliperm; 10.10.10.100; BABACA000000
[19-12-15 20:46:06] [LOGIN] user:luisfeliperm; 10.10.10.100; BABACA000000
[19-12-15 21:03:36] [LOGIN] user:luisfeliperm; 10.10.10.100; BABACA000000
[19-12-15 21:03:58] [LOGIN] user:luisfeliperm; 10.10.10.100; BABACA000000
[19-12-15 21:06:48] [LOGIN] user:luisfeliperm; 10.10.10.100; BABACA000000
[19-12-15 21:07:36] [LOGIN] user:luisfeliperm; 10.10.10.100; BABACA000000
[19-12-15 21:09:28] [LOGIN] user:luisfeliperm; 10.10.10.100; BABACA000000
[19-12-15 21:18:54] [LOGIN] user:luisfeliperm; 10.10.10.100; BABACA000000
[19-12-15 21:19:34] [LOGIN] user:luisfeliperm; 10.10.10.100; BABACA000000
[19-12-15 21:21:49] [LOGIN] user:luisfeliperm; 10.10.10.100; BABACA000000
[19-12-15 21:28:57] [LOGIN] user:luisfeliperm; 10.10.10.100; BABACA000000
[19-12-15 21:30:14] [LOGIN] user:luisfeliperm; 10.10.10.100; BABACA000000
[19-12-15 21:36:27] [LOGIN] user:luisfeliperm; 10.10.10.100; BABACA000000
[19-12-15 21:37:21] [LOGIN] user:luisfeliperm; 10.10.10.100; BABACA000000
[19-12-15 21:37:28] [LOGIN] user:luisfeliperm; 10.10.10.100; BABACA000000
[19-12-15 21:37:50] [LOGIN] user:luisfeliperm; 10.10.10.100; BABACA000000
[19-12-15 21:38:00] [LOGIN] user:luisfeliperm; 10.10.10.100; BABACA000000
[19-12-15 21:39:11] [LOGIN] user:luisfeliperm; 10.10.10.100; BABACA000000
[19-12-15 21:39:50] [LOGIN] user:luisfeliperm; 10.10.10.100; BABACA000000
