[19-12-24 12:27:52] [LOGIN] user:luisfeliperm; 10.10.10.101; BABACA000000
[19-12-24 12:29:01] [LOGIN] user:luisfeliperm; 10.10.10.101; BABACA000000
[19-12-24 15:28:00] [LOGIN] user:luisfeliperm; 10.10.10.101; BABACA000000
[19-12-24 15:40:36] [LOGIN] user:luisfeliperm; 10.10.10.101; BABACA000000
[19-12-24 15:41:06] [LOGIN] user:luisfeliperm; 10.10.10.101; BABACA000000
[19-12-24 15:42:46] [LOGIN] user:luisfeliperm; 10.10.10.101; BABACA000000
[19-12-24 15:43:00] [LOGIN] user:luisfeliperm; 10.10.10.101; BABACA000000
[19-12-24 15:49:58] [LOGIN] user:luisfeliperm; 10.10.10.101; BABACA000000
[19-12-24 15:51:46] [LOGIN] user:luisfeliperm; 10.10.10.101; BABACA000000
[19-12-24 15:52:08] [LOGIN] user:luisfeliperm; 10.10.10.101; BABACA000000
[19-12-24 15:54:47] [LOGIN] user:luisfeliperm; 10.10.10.101; BABACA000000
[19-12-24 15:56:28] [LOGIN] user:luisfeliperm; 10.10.10.101; BABACA000000
[19-12-24 15:58:53] [LOGIN] user:luisfeliperm; 10.10.10.101; 11EF7B4E9243
[19-12-24 15:59:03] [LOGIN] user:luisfeliperm; 10.10.10.101; 21B765E36EF6
[19-12-24 15:59:44] [LOGIN] user:luisfeliperm; 10.10.10.101; 44D10FA82589
[19-12-24 16:00:15] [LOGIN] user:luisfeliperm; 10.10.10.101; 1E81C0F0AB99
[19-12-24 16:02:56] [LOGIN] user:luisfeliperm; 10.10.10.101; BABACA000000
[19-12-24 16:05:18] [LOGIN] user:luisfeliperm; 10.10.10.101; BABACA000000
[19-12-24 16:05:56] [LOGIN] user:luisfeliperm; 10.10.10.101; 897FA7DD8662
[19-12-24 16:06:37] [LOGIN] user:luisfeliperm; 10.10.10.101; B1E4F494B985
[19-12-24 16:18:57] [LOGIN] user:luisfeliperm; 10.10.10.101; BABACA000000
[19-12-24 16:19:47] [LOGIN] user:luisfeliperm; 10.10.10.101; BABACA000000
[19-12-24 16:21:54] [LOGIN] user:luisfeliperm; 10.10.10.101; BABACA000000
[19-12-24 16:22:57] [LOGIN] user:luisfeliperm; 10.10.10.101; BABACA000000
[19-12-24 16:30:53] [LOGIN] user:luisfeliperm; 10.10.10.101; BABACA000000
